DATE	TYPE	TeamA	ConfA	TeamB	VenueA	RESULT	ResultA	Scores	split_1	split_2	ScoreA	ScoreB
2021-02-23	C	Georgia Tech	ACC	Virginia Tech	A	W, 69-53	W	69-53	69	53	69	53
2021-01-23	C	Arkansas	SEC	Vanderbilt	A	W, 92-71	W	92-71	92	71	92	71
2021-01-07	C	Iowa	B10	Maryland	A	W, 89-67	W	89-67	89	67	89	67
2020-12-01	N	Purdue	B10	Oakland	H	W, 93-50	W	93-50	93	50	93	50
2020-12-06	C	TCU	B12	Oklahoma	H	L, 82-78	L	82-78	82	78	78	82
2020-12-25	C	Michigan St.	B10	Wisconsin	H	L, 85-76	L	85-76	85	76	76	85
2020-11-30	N	Indiana	B10	Providence	N	W, 79-58	W	79-58	79	58	79	58
2021-03-14	CT	Ohio St.	B10	Illinois	N	L, 91-88	L	91-88	91	88	88	91
2020-12-09	N	Providence	BE	TCU	A	W, 79-70	W	79-70	79	70	79	70
2021-01-27	C	Colorado	P12	Washington St.	H	W, 70-58	W	70-58	70	58	70	58
2020-12-30	C	Florida	SEC	Vanderbilt	A	W, 91-72	W	91-72	91	72	91	72
2021-02-07	C	Georgetown	BE	Villanova	A	L, 84-74	L	84-74	84	74	74	84
2020-12-04	N	Maryland	B10	Saint Peter's	H	W, 90-57	W	90-57	90	57	90	57
2021-01-04	C	West Virginia	B12	Oklahoma St.	A	W, 87-84	W	87-84	87	84	87	84
2021-02-21	C	Houston	Amer	Cincinnati	H	W, 90-52	W	90-52	90	52	90	52
2021-01-14	C	Colorado	P12	California	H	W, 89-60	W	89-60	89	60	89	60
2020-12-04	N	Oregon	P12	Seton Hall	N	W, 83-70	W	83-70	83	70	83	70
2020-12-15	N	Tennessee	SEC	Appalachian St.	H	W, 79-38	W	79-38	79	38	79	38
2021-03-09	CT	Duke	ACC	Boston College	N	W, 86-51	W	86-51	86	51	86	51
2020-12-12	C	Syracuse	ACC	Boston College	A	W, 101-63	W	101-63	101	63	101	63
2021-03-06	C	LSU	SEC	Missouri	A	W, 86-80	W	86-80	86	80	86	80
2021-02-09	C	Kansas St.	B12	Texas	H	L, 80-77	L	80-77	80	77	77	80
2021-02-09	C	Dayton	A10	VCU	H	L, 76-67	L	76-67	76	67	67	76
2021-01-16	C	Alabama	SEC	Arkansas	H	W, 90-59	W	90-59	90	59	90	59
2021-02-22	C	USC	P12	Oregon	H	W, 72-58	W	72-58	72	58	72	58
2021-03-18	T	UCLA	P12	Michigan St.	N	W, 86-80	W	86-80	86	80	86	80
2021-01-02	C	La Salle	A10	Fordham	H	W, 89-52	W	89-52	89	52	89	52
2021-03-07	C	Northwestern	B10	Nebraska	H	W, 79-78	W	79-78	79	78	79	78
2020-12-08	N	USC	P12	UC Irvine	H	W, 91-56	W	91-56	91	56	91	56
2021-01-17	C	Houston	Amer	UCF	H	W, 75-58	W	75-58	75	58	75	58
2021-02-11	C	Kansas	B12	Iowa St.	H	W, 97-64	W	97-64	97	64	97	64
2021-03-05	CT	Saint Louis	A10	Massachusetts	N	W, 86-72	W	86-72	86	72	86	72
2021-03-11	CT	Mississippi St.	SEC	Kentucky	N	W, 74-73	W	74-73	74	73	74	73
2021-01-13	C	Virginia	ACC	Notre Dame	H	W, 80-68	W	80-68	80	68	80	68
2021-02-25	C	Oregon	P12	Stanford	A	W, 71-68	W	71-68	71	68	71	68
2021-01-20	C	Houston	Amer	Tulsa	H	W, 86-59	W	86-59	86	59	86	59
2021-01-23	C	Syracuse	ACC	Virginia Tech	H	W, 78-60	W	78-60	78	60	78	60
2020-12-18	N	Richmond	A10	Loyola Chicago	N	W, 75-73	W	75-73	75	73	75	73
2020-12-11	N	Massachusetts	A10	Northeastern	H	W, 94-79	W	94-79	94	79	94	79
2021-01-09	C	Arizona	P12	UCLA	H	L, 81-76	L	81-76	81	76	76	81
2021-01-09	C	California	P12	Washington	H	W, 84-78	W	84-78	84	78	84	78
2020-12-02	N	Missouri	SEC	Oregon	N	W, 83-75	W	83-75	83	75	83	75
2021-02-24	C	North Carolina St.	ACC	Virginia	A	W, 68-61	W	68-61	68	61	68	61
2021-02-18	C	Penn St.	B10	Ohio St.	H	L, 92-82	L	92-82	92	82	82	92
2020-12-06	C	Oklahoma	B12	TCU	A	W, 82-78	W	82-78	82	78	82	78
2021-01-30	C	Utah	P12	Colorado	A	W, 77-74	W	77-74	77	74	77	74
2021-02-06	C	Oregon	P12	Washington	H	W, 86-74	W	86-74	86	74	86	74
2021-02-16	C	St. John's	BE	Xavier	H	W, 93-84	W	93-84	93	84	93	84
